zip;city;state_id;state_name;population;county_name
01531;New Braintree;MA;Massachusetts;1298;Worcester
01532;Northborough;MA;Massachusetts;14985;Worcester
01534;Northbridge;MA;Massachusetts;6311;Worcester
01535;North Brookfield;MA;Massachusetts;4764;Worcester
01536;North Grafton;MA;Massachusetts;7786;Worcester
01537;North Oxford;MA;Massachusetts;2289;Worcester
01540;Oxford;MA;Massachusetts;11484;Worcester
01541;Princeton;MA;Massachusetts;3443;Worcester
01542;Rochdale;MA;Massachusetts;2314;Worcester
01543;Rutland;MA;Massachusetts;8586;Worcester
01545;Shrewsbury;MA;Massachusetts;36666;Worcester
01550;Southbridge;MA;Massachusetts;16894;Worcester
01560;South Grafton;MA;Massachusetts;4401;Worcester
01561;South Lancaster;MA;Massachusetts;294;Worcester
01562;Spencer;MA;Massachusetts;11913;Worcester
01564;Sterling;MA;Massachusetts;8052;Worcester
01566;Sturbridge;MA;Massachusetts;5618;Worcester
01568;Upton;MA;Massachusetts;7762;Worcester
01569;Uxbridge;MA;Massachusetts;13939;Worcester
01570;Webster;MA;Massachusetts;16971;Worcester
01571;Dudley;MA;Massachusetts;11682;Worcester
01581;Westborough;MA;Massachusetts;18982;Worcester
01583;West Boylston;MA;Massachusetts;7676;Worcester
01585;West Brookfield;MA;Massachusetts;4574;Worcester
01588;Whitinsville;MA;Massachusetts;9775;Worcester
01590;Sutton;MA;Massachusetts;9385;Worcester
01602;Worcester;MA;Massachusetts;23854;Worcester
01603;Worcester;MA;Massachusetts;19336;Worcester
01604;Worcester;MA;Massachusetts;37468;Worcester
01605;Worcester;MA;Massachusetts;28820;Worcester
01606;Worcester;MA;Massachusetts;19729;Worcester
01607;Worcester;MA;Massachusetts;8583;Worcester
01608;Worcester;MA;Massachusetts;3639;Worcester
01609;Worcester;MA;Massachusetts;21142;Worcester
01610;Worcester;MA;Massachusetts;23040;Worcester
01611;Cherry Valley;MA;Massachusetts;2241;Worcester
01612;Paxton;MA;Massachusetts;4870;Worcester
01701;Framingham;MA;Massachusetts;32570;Middlesex
01702;Framingham;MA;Massachusetts;39149;Middlesex
01718;Acton;MA;Massachusetts;813;Middlesex
01719;Boxborough;MA;Massachusetts;5794;Middlesex
01720;Acton;MA;Massachusetts;22684;Middlesex
01721;Ashland;MA;Massachusetts;17576;Middlesex
01730;Bedford;MA;Massachusetts;14053;Middlesex
01731;Hanscom Afb;MA;Massachusetts;2061;Middlesex
01740;Bolton;MA;Massachusetts;5236;Worcester
01741;Carlisle;MA;Massachusetts;5186;Middlesex
01742;Concord;MA;Massachusetts;19350;Middlesex
01745;Fayville;MA;Massachusetts;588;Worcester
01746;Holliston;MA;Massachusetts;14634;Middlesex
01747;Hopedale;MA;Massachusetts;5951;Worcester
01748;Hopkinton;MA;Massachusetts;17178;Middlesex
01749;Hudson;MA;Massachusetts;19868;Middlesex
01752;Marlborough;MA;Massachusetts;39776;Middlesex
01754;Maynard;MA;Massachusetts;10600;Middlesex
01756;Mendon;MA;Massachusetts;6068;Worcester
01757;Milford;MA;Massachusetts;28862;Worcester
01760;Natick;MA;Massachusetts;35763;Middlesex
01770;Sherborn;MA;Massachusetts;4301;Middlesex
01772;Southborough;MA;Massachusetts;9486;Worcester
01773;Lincoln;MA;Massachusetts;4775;Middlesex
01775;Stow;MA;Massachusetts;7098;Middlesex
01776;Sudbury;MA;Massachusetts;18940;Middlesex
01778;Wayland;MA;Massachusetts;13970;Middlesex
01801;Woburn;MA;Massachusetts;40350;Middlesex
01803;Burlington;MA;Massachusetts;27059;Middlesex
01810;Andover;MA;Massachusetts;35609;Essex
01821;Billerica;MA;Massachusetts;33016;Middlesex
01824;Chelmsford;MA;Massachusetts;25955;Middlesex
01826;Dracut;MA;Massachusetts;31101;Middlesex
01827;Dunstable;MA;Massachusetts;3345;Middlesex
01830;Haverhill;MA;Massachusetts;26695;Essex
01832;Haverhill;MA;Massachusetts;23419;Essex
01833;Georgetown;MA;Massachusetts;8649;Essex
01834;Groveland;MA;Massachusetts;6749;Essex
01835;Haverhill;MA;Massachusetts;13166;Essex
01840;Lawrence;MA;Massachusetts;5560;Essex
01841;Lawrence;MA;Massachusetts;48827;Essex
01843;Lawrence;MA;Massachusetts;25454;Essex
01844;Methuen;MA;Massachusetts;50019;Essex
01845;North Andover;MA;Massachusetts;30589;Essex
01850;Lowell;MA;Massachusetts;16267;Middlesex
01851;Lowell;MA;Massachusetts;30574;Middlesex
01852;Lowell;MA;Massachusetts;34939;Middlesex
01854;Lowell;MA;Massachusetts;29561;Middlesex
01860;Merrimac;MA;Massachusetts;6839;Essex
01862;North Billerica;MA;Massachusetts;10223;Middlesex
01863;North Chelmsford;MA;Massachusetts;9131;Middlesex
01864;North Reading;MA;Massachusetts;15642;Middlesex
01867;Reading;MA;Massachusetts;25048;Middlesex
01876;Tewksbury;MA;Massachusetts;30807;Middlesex
01879;Tyngsboro;MA;Massachusetts;12345;Middlesex
01880;Wakefield;MA;Massachusetts;26648;Middlesex
01886;Westford;MA;Massachusetts;24194;Middlesex
01887;Wilmington;MA;Massachusetts;23658;Middlesex
01890;Winchester;MA;Massachusetts;22677;Middlesex
01901;Lynn;MA;Massachusetts;1759;Essex
01902;Lynn;MA;Massachusetts;49172;Essex
01904;Lynn;MA;Massachusetts;17142;Essex
01905;Lynn;MA;Massachusetts;25465;Essex
01906;Saugus;MA;Massachusetts;28165;Essex
01907;Swampscott;MA;Massachusetts;14950;Essex
01908;Nahant;MA;Massachusetts;3495;Essex
01913;Amesbury;MA;Massachusetts;17378;Essex
01915;Beverly;MA;Massachusetts;41731;Essex
01921;Boxford;MA;Massachusetts;8270;Essex
01922;Byfield;MA;Massachusetts;3276;Essex
01923;Danvers;MA;Massachusetts;27457;Essex
01929;Essex;MA;Massachusetts;3713;Essex
01930;Gloucester;MA;Massachusetts;30049;Essex
01937;Hathorne;MA;Massachusetts;174;Essex
01938;Ipswich;MA;Massachusetts;13901;Essex
01940;Lynnfield;MA;Massachusetts;13484;Essex
01944;Manchester;MA;Massachusetts;5370;Essex
01945;Marblehead;MA;Massachusetts;20488;Essex
01949;Middleton;MA;Massachusetts;9779;Essex
01950;Newburyport;MA;Massachusetts;17990;Essex
01951;Newbury;MA;Massachusetts;3755;Essex
01952;Salisbury;MA;Massachusetts;9227;Essex
01960;Peabody;MA;Massachusetts;52564;Essex
01966;Rockport;MA;Massachusetts;7212;Essex
01969;Rowley;MA;Massachusetts;6298;Essex
01970;Salem;MA;Massachusetts;43155;Essex
01982;South Hamilton;MA;Massachusetts;8020;Essex
01983;Topsfield;MA;Massachusetts;6551;Essex
01984;Wenham;MA;Massachusetts;5208;Essex
01985;West Newbury;MA;Massachusetts;4581;Essex
02019;Bellingham;MA;Massachusetts;17016;Norfolk
02021;Canton;MA;Massachusetts;23134;Norfolk
02025;Cohasset;MA;Massachusetts;8449;Norfolk
02026;Dedham;MA;Massachusetts;25360;Norfolk
02030;Dover;MA;Massachusetts;5987;Norfolk
02032;East Walpole;MA;Massachusetts;4455;Norfolk
02035;Foxboro;MA;Massachusetts;17535;Norfolk
02038;Franklin;MA;Massachusetts;33022;Norfolk
02043;Hingham;MA;Massachusetts;23298;Plymouth
02045;Hull;MA;Massachusetts;10424;Plymouth
02047;Humarock;MA;Massachusetts;92;Plymouth
02048;Mansfield;MA;Massachusetts;23761;Bristol
02050;Marshfield;MA;Massachusetts;26152;Plymouth
02052;Medfield;MA;Massachusetts;12748;Norfolk
02053;Medway;MA;Massachusetts;13244;Norfolk
02054;Millis;MA;Massachusetts;8202;Norfolk
02056;Norfolk;MA;Massachusetts;11317;Norfolk
02061;Norwell;MA;Massachusetts;10987;Plymouth
02062;Norwood;MA;Massachusetts;29201;Norfolk
02066;Scituate;MA;Massachusetts;18101;Plymouth
02067;Sharon;MA;Massachusetts;18377;Norfolk
02071;South Walpole;MA;Massachusetts;1696;Norfolk
02072;Stoughton;MA;Massachusetts;28534;Norfolk
02081;Walpole;MA;Massachusetts;19378;Norfolk
02090;Westwood;MA;Massachusetts;15880;Norfolk
02093;Wrentham;MA;Massachusetts;11734;Norfolk
02108;Boston;MA;Massachusetts;4082;Suffolk
02109;Boston;MA;Massachusetts;3853;Suffolk
02110;Boston;MA;Massachusetts;2449;Suffolk
02111;Boston;MA;Massachusetts;7926;Suffolk
02113;Boston;MA;Massachusetts;7531;Suffolk
02114;Boston;MA;Massachusetts;13516;Suffolk
02115;Boston;MA;Massachusetts;29108;Suffolk
02116;Boston;MA;Massachusetts;23118;Suffolk
02118;Boston;MA;Massachusetts;27830;Suffolk
02119;Roxbury;MA;Massachusetts;28199;Suffolk
02120;Roxbury Crossing;MA;Massachusetts;14928;Suffolk
02121;Dorchester;MA;Massachusetts;29919;Suffolk
02122;Dorchester;MA;Massachusetts;25059;Suffolk
02124;Dorchester Center;MA;Massachusetts;55821;Suffolk
02125;Dorchester;MA;Massachusetts;34358;Suffolk
02126;Mattapan;MA;Massachusetts;29591;Suffolk
02127;South Boston;MA;Massachusetts;36898;Suffolk
02128;East Boston;MA;Massachusetts;46927;Suffolk
02129;Charlestown;MA;Massachusetts;19414;Suffolk
02130;Jamaica Plain;MA;Massachusetts;40377;Suffolk
02131;Roslindale;MA;Massachusetts;33771;Suffolk
02132;West Roxbury;MA;Massachusetts;28487;Suffolk
02134;Allston;MA;Massachusetts;19424;Suffolk
02135;Brighton;MA;Massachusetts;44760;Suffolk
02136;Hyde Park;MA;Massachusetts;34223;Suffolk
02138;Cambridge;MA;Massachusetts;38835;Middlesex
02139;Cambridge;MA;Massachusetts;38272;Middlesex
02140;Cambridge;MA;Massachusetts;21338;Middlesex
02141;Cambridge;MA;Massachusetts;14052;Middlesex
02142;Cambridge;MA;Massachusetts;3294;Middlesex
02143;Somerville;MA;Massachusetts;26151;Middlesex
02144;Somerville;MA;Massachusetts;25277;Middlesex
02145;Somerville;MA;Massachusetts;26868;Middlesex
02148;Malden;MA;Massachusetts;61354;Middlesex
02149;Everett;MA;Massachusetts;45596;Middlesex
02150;Chelsea;MA;Massachusetts;39842;Suffolk
02151;Revere;MA;Massachusetts;53976;Suffolk
02152;Winthrop;MA;Massachusetts;18535;Suffolk
02155;Medford;MA;Massachusetts;59793;Middlesex
02163;Boston;MA;Massachusetts;2401;Suffolk
02169;Quincy;MA;Massachusetts;56584;Norfolk
02170;Quincy;MA;Massachusetts;19367;Norfolk
02171;Quincy;MA;Massachusetts;18170;Norfolk
02176;Melrose;MA;Massachusetts;28116;Middlesex
02180;Stoneham;MA;Massachusetts;22144;Middlesex
02184;Braintree;MA;Massachusetts;37207;Norfolk
02186;Milton;MA;Massachusetts;27568;Norfolk
02188;Weymouth;MA;Massachusetts;15287;Norfolk
02189;East Weymouth;MA;Massachusetts;15603;Norfolk
